id,group,title,authors,venue,year,openalex_citations_2026_07_06,source_url,short_summary,research_relevance,priority
P01,Core benchmark,"StereoSet: Measuring stereotypical bias in pretrained language models","Moin Nadeem; Anna Bethke; Siva Reddy","ACL-IJCNLP 2021 Long Papers",2021,102,https://doi.org/10.18653/v1/2021.acl-long.416,"Introduces a large-scale benchmark for stereotypical associations in language models across gender, profession, race, and religion.","Useful as an early stereotype-measurement template; can inspire migration/nationality stereotype item design.",High
P02,Core benchmark,"CrowS-Pairs: A Challenge Dataset for Measuring Social Biases in Masked Language Models","Nikita Nangia; Clara Vania; Rasika Bhalerao; Samuel R. Bowman","EMNLP 2020",2020,19,https://doi.org/10.18653/v1/2020.emnlp-main.154,"Pairs minimally different sentences where one reflects a stereotype and the other does not, then tests model preference.","Good template for pairwise migrant/non-migrant or nationality-framed stereotype tests.",High
P03,Core benchmark,"BBQ: A hand-built bias benchmark for question answering","Alicia Parrish; Angelica Chen; Nikita Nangia; Vishakh Padmakumar; Jason Phang; Jana Thompson; Phu Mon Htut; Samuel Bowman","Findings of ACL 2022",2022,142,https://doi.org/10.18653/v1/2022.findings-acl.165,"Tests whether QA models rely on social stereotypes under ambiguous contexts and whether bias persists when context is informative.","Highly relevant because its ambiguity design can be adapted to immigration, nationality, refugee status, or legal decision settings.",High
P04,Core benchmark,"BOLD: Dataset and Metrics for Measuring Biases in Open-Ended Language Generation","Jwala Dhamala; Tony Sun; Varun Kumar; Satyapriya Krishna; Yada Pruksachatkun; Kai-Wei Chang; Rahul Gupta","ACM FAccT 2021",2021,194,https://doi.org/10.1145/3442188.3445924,"Benchmarks open-ended generation bias using prompts across profession, gender, race, religion, and political ideology with toxicity and sentiment-style metrics.","Good fit if your migration work asks how models continue prompts about immigrant or refugee groups.",High
P05,Core benchmark,"RealToxicityPrompts: Evaluating Neural Toxic Degeneration in Language Models","Samuel Gehman; Suchin Gururangan; Maarten Sap; Yejin Choi; Noah A. Smith","Findings of EMNLP 2020",2020,38,https://doi.org/10.18653/v1/2020.findings-emnlp.301,"Uses naturally occurring web prompts to measure toxic continuations from language models.","Useful for studying whether migration-related prompts trigger toxic or dehumanizing continuations.",Medium
P06,Core benchmark,"HONEST: Measuring Hurtful Sentence Completion in Language Models","Debora Nozza; Federico Bianchi; Dirk Hovy","NAACL-HLT 2021",2021,90,https://doi.org/10.18653/v1/2021.naacl-main.191,"Measures hurtful completions for demographic prompts and supports multilingual evaluation.","Methodologically useful for migration because hurtfulness can be evaluated in multilingual and identity-specific prompts.",High
P07,Core benchmark,"I'm sorry to hear that: Finding New Biases in Language Models with a Holistic Descriptor Dataset","Eric M. Smith; Melissa Hall; Melanie Kambadur; Eleonora Presani; Adina Williams","EMNLP 2022",2022,59,https://doi.org/10.18653/v1/2022.emnlp-main.625,"Introduces HolisticBias, a broad descriptor dataset for probing many identity axes and intersectional descriptions.","Strong source for expanding beyond standard protected attributes into descriptors likely relevant to migrants.",High
P08,Core benchmark,"UNQOVERing Stereotyping Biases via Underspecified Questions","Tao Li; Daniel Khashabi; Tushar Khot; Ashish Sabharwal; Vivek Srikumar","Findings of EMNLP 2020",2020,6,https://doi.org/10.18653/v1/2020.findings-emnlp.311,"Uses underspecified questions to expose stereotyped associations in model answers.","Very relevant for decision prompts where evidence is missing, vague, or underspecified.",Medium
P09,Prompt/persona method,"Marked Personas: Using Natural Language Prompts to Measure Stereotypes in Language Models","Myra Cheng; Esin Durmus; Dan Jurafsky","ACL 2023 Long Papers",2023,97,https://doi.org/10.18653/v1/2023.acl-long.84,"Prompts models to generate personas for marked and unmarked groups, then identifies distinguishing stereotype terms.","Good method for studying othering, exoticization, and flattening in immigrant/refugee personas.",High
P10,Decision fairness,"Evaluating and Mitigating Discrimination in Language Model Decisions","Alex Tamkin; Amanda Askell; Liane Lovitt; Esin Durmus; Nicholas Joseph; Shauna Kravec; Karina Nguyen; Jared Kaplan; Deep Ganguli","arXiv",2023,10,https://doi.org/10.48550/arxiv.2312.03689,"Audits discrimination in language-model decisions and explores mitigation strategies.","Directly useful if your migration project includes admission, eligibility, triage, hiring, housing, or welfare-style decisions.",High
